title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Naked Gun: From the Files of Police Squad!,12000000,15.698222,1988,78756177,85,7.1,1020
Tarzan,150000000,12.453452,1999,448000000,88,7.1,1715
Despicable Me,69000000,22.274502,2010,543513985,95,7.1,6595
Beetlejuice,15000000,10.627364,1988,73326666,92,7.1,1475
Nerve,19000000,14.9837,2016,85241496,96,7.1,2262
The Intern,35000000,15.651704999999998,2015,194564672,121,7.1,1926
Back to the Future Part III,40000000,13.043999000000001,1990,244527583,118,7.1,2978
The Fly,15000000,13.534589000000002,1986,60629159,96,7.1,1038
Identity,30000000,17.955897,2003,90259536,90,7.1,1090
Kick-Ass,28000000,17.26045,2010,96188903,117,7.1,4747
The Jungle Book,4000000,22.845448,1967,205843612,78,7.1,1791
Gangs of New York,100000000,14.922398999999999,2002,193772504,167,7.1,1964
28 Days Later,5000000,17.656951,2002,82719885,113,7.1,1816
Indiana Jones and the Temple of Doom,28000000,15.802306,1984,333000000,118,7.1,2841
The Aristocats,4000000,9.834047,1970,55675257,78,7.1,1287
The Equalizer,55000000,17.618057,2014,192330738,132,7.1,2997
Perfume: The Story of a Murderer,50000000,10.297303999999999,2006,132180323,147,7.1,1198
The Godfather: Part III,54000000,17.185349,1990,136766062,162,7.1,1589
The Man from U.N.C.L.E.,75000000,14.656875,2015,108145109,116,7.1,2306
Dirty Dancing,6000000,14.044122,1987,213954274,100,7.1,1371
Star Wars: Episode III - Revenge of the Sith,113000000,13.165420999999998,2005,850000000,140,7.1,4200
Minority Report,102000000,20.666063,2002,358372926,145,7.1,2663
Dracula,40000000,16.777675,1992,215862692,128,7.1,1087
RoboCop,13000000,13.485582999999998,1987,53000000,102,7.1,1494
Captain America: Civil War,250000000,145.882135,2016,1153304495,147,7.1,7462
X-Men: First Class,160000000,0.738633,2011,353624124,132,7.1,5252
Fast Five,125000000,1.420361,2011,626137675,130,7.1,2491
Eyes Wide Shut,65000000,13.268483999999999,1999,162091208,159,7.1,1266
Total Recall,65000000,12.954444,1990,261317921,113,7.1,1745
Source Code,32000000,9.796961999999999,2011,147332697,93,7.1,2752
Argo,44500000,14.238234,2012,232324128,120,7.1,3473
Wreck-It Ralph,165000000,13.697597,2012,471222889,108,7.1,4656
The Hobbit: The Battle of the Five Armies,250000000,31.718977000000002,2014,956019788,144,7.1,4884
The Terminal,60000000,14.092373,2004,219417255,128,7.1,1974
Lilo & Stitch,80000000,18.469238,2002,145771527,85,7.1,1371
Airplane!,3500000,13.063203,1980,83453539,88,7.1,1104
Limitless,27000000,12.114955,2011,161849455,105,7.1,3888
Rise of the Guardians,145000000,10.943775,2012,306941670,97,7.1,1981
Ice Age,59000000,17.328902,2002,383257136,81,7.1,3954
Doctor Strange,165000000,43.847654,2016,677718395,115,7.1,5880
Sweeney Todd: The Demon Barber of Fleet Street,50000000,10.038401,2007,152000000,116,7.0,1745
Alice in Wonderland,3000000,16.488937,1951,572000000,75,7.0,1557
P.S. I Love You,30000000,10.304881,2007,156835339,126,7.0,1011
